"Laikotarpis","Rodiklis","Europos individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (ECOICOP)","Matavimo vienetai","Reikšmė"
"2003M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,66"
"2003M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","55,08"
"2003M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,76"
"2003M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","54,40"
"2003M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,71"
"2003M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","54,09"
"2003M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,53"
"2003M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,96"
"2003M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,70"
"2003M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,64"
"2002M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,75"
"2002M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,87"
"2002M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,52"
"2002M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,82"
"2002M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,46"
"2002M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,72"
"2002M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,01"
"2002M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,24"
"2002M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,37"
"2002M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,12"
"2002M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,76"
"2002M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,25"
"2002M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,95"
"2002M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,32"
"2002M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,18"
"2002M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,31"
"2002M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,40"
"2002M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,06"
"2002M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,45"
"2002M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,68"
"2002M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,87"
"2002M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,81"
"2002M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","71,00"
"2002M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,81"
"2001M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,38"
"2001M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,83"
"2001M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,14"
"2001M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,93"
"2001M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,17"
"2001M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,89"
"2001M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,96"
"2001M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,86"
"2001M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,09"
"2001M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,85"
"2001M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,66"
"2001M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,64"
"2001M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","70,22"
"2001M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,58"
"2001M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,83"
"2001M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","51,98"
"2001M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,43"
"2001M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,08"
"2001M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","69,30"
"2001M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","51,98"
"2001M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,92"
"2001M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","51,87"
"2001M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,81"
"2001M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,04"
"2000M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,98"
"2000M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,23"
"2000M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,79"
"2000M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,36"
"2000M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,52"
"2000M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,36"
"2000M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,37"
"2000M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,39"
"2000M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,27"
"2000M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,54"
"2000M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,66"
"2000M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,65"
"2000M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,87"
"2000M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,81"
"2000M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,45"
"2000M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,95"
"2000M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,73"
"2000M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,89"
"2000M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,74"
"2000M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,04"
"2000M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,89"
"2000M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,02"
"2000M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,87"
"2000M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,27"
"1999M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,85"
"1999M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,27"
"1999M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,67"
"1999M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,48"
"1999M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,63"
"1999M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","53,74"
"1999M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,04"
"1999M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","59,91"
"1999M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,57"
"1999M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,03"
"1999M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,69"
"1999M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,07"
"1999M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,98"
"1999M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,12"
"1999M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,08"
"1999M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,04"
"1999M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,12"
"1999M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,11"
"1999M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,08"
"1999M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,20"
"1999M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,25"
"1999M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,19"
"1999M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","68,26"
"1999M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","60,00"
"1998M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,59"
"1998M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","58,97"
"1998M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,56"
"1998M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","58,98"
"1998M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,40"
"1998M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","59,00"
"1998M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","66,78"
"1998M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","59,02"
"1998M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","66,89"
"1998M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","59,03"
"1998M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,13"
"1998M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","58,92"
"1998M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","66,80"
"1998M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","58,75"
"1998M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","67,34"
"1998M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","58,14"
"1998M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","66,91"
"1998M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","55,21"
"1998M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","66,62"
"1998M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,46"
"1998M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","66,41"
"1998M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,32"
"1998M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","66,19"
"1998M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","52,08"
"1997M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","65,57"
"1997M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","51,65"
"1997M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","65,30"
"1997M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","51,52"
"1997M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","64,39"
"1997M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","50,99"
"1997M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","64,04"
"1997M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","50,99"
"1997M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","63,98"
"1997M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","50,79"
"1997M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","63,79"
"1997M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","50,44"
"1997M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","63,02"
"1997M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","50,34"
"1997M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","62,98"
"1997M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","49,87"
"1997M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","62,59"
"1997M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","46,43"
"1997M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","62,42"
"1997M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","44,27"
"1997M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","62,46"
"1997M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","44,16"
"1997M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","62,13"
"1997M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","44,05"
"1996M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","60,41"
"1996M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","43,90"
"1996M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","59,82"
"1996M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","43,80"
"1996M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","58,85"
"1996M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","43,69"
"1996M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","58,51"
"1996M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","43,81"
"1996M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","58,03"
"1996M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","43,66"
"1996M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","57,94"
"1996M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","43,53"
"1996M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","57,86"
"1996M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","43,37"
"1996M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","57,43"
"1996M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","41,93"
"1996M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","57,20"
"1996M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","41,78"
"1996M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","56,37"
"1996M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","41,63"
"1996M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","55,09"
"1996M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","41,35"
"1996M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","53,84"
"1996M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","41,21"
